City_ID,City,Max Temp,Weather Description,Lat,Lng,Hotel Name
3,Mogadishu,80.47,broken clouds,2.0371,45.3438,Hotel Juba
7,Meulaboh,85.23,broken clouds,4.1363,96.1285,Kost Pria
11,Rikitea,76.17,broken clouds,-23.1203,-134.9692,People ThankYou
13,Carnarvon,80.67,clear sky,-24.8667,113.6333,Hospitality Carnarvon
16,Atuona,78.67,clear sky,-9.8,-139.0333,Villa Enata
18,Srandakan,81.97,broken clouds,-7.9386,110.2506,Puri Brata
24,Hithadhoo,82.44,few clouds,-0.6,73.0833,Scoop Guest House
26,Butaritari,83.08,light rain,3.0707,172.7902,Isles Sunset Lodge
31,Vaini,82.56,light rain,-21.2,-175.2,Keleti Beach Resort
35,Faanui,81.54,few clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
37,Salalah,81.28,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
39,Avarua,75.25,heavy intensity rain,-21.2078,-159.775,Paradise Inn
45,Kpandae,75.7,overcast clouds,8.4689,-0.0113,S. Amaski Guest House
47,Ambon,86.14,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
48,Miri,84.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
55,Matara,85.64,light rain,5.9485,80.5353,Amaloh Boutique Resort
58,Pirawa,75.15,clear sky,24.1551,76.0273,सामुदायिक भवन सराय पिड़ावा
60,Bambous Virieux,84.45,scattered clouds,-20.3428,57.7575,Casa Tia Villa
64,Yenagoa,77.27,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
66,Axim,78.37,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
70,Robertsport,80.53,broken clouds,6.7533,-11.3686,Kwepunha Retreat
72,Collie,84.97,clear sky,-33.3667,116.15,Collie Ridge
75,Tura,77.36,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
83,Fare,81.01,scattered clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
84,Port-Gentil,75.16,few clouds,-0.7193,8.7815,Fengshui Residence
86,Louis Trichardt,75.52,broken clouds,-23.0439,29.9032,139 on Munnik Guest House
91,Tabou,78.76,broken clouds,4.423,-7.3528,hotêl doufoulougou
97,Busselton,87.08,few clouds,-33.65,115.3333,Observatory Guest House
103,Tadine,79.61,overcast clouds,-21.55,167.8833,
107,Dingle,81.34,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
109,Bengkulu,85.46,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
113,Lazaro Cardenas,75.74,broken clouds,17.9583,-102.2,quinta antigua
116,Bodden Town,79.93,scattered clouds,19.2833,-81.25,Will T Place
120,Chiredzi,89.31,clear sky,-21.05,31.6667,Clevers Hotel Chiredzi
135,Saint-Pierre,87.44,clear sky,-21.3393,55.4781,Lindsey Hôtel
139,Richards Bay,76.23,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
140,Kavieng,84.47,broken clouds,-2.5744,150.7967,Nusa Island Retreat
141,Bentiu,84.99,few clouds,9.2333,29.8333,Mandela hôtel
148,Cabo San Lucas,77.5,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
160,Georgetown,89.89,few clouds,5.4112,100.3354,Cititel Penang
162,Vangaindrano,82.42,broken clouds,-23.35,47.6,Hotel Fanilo
164,Omboue,76.86,overcast clouds,-1.5746,9.2618,Hotel Olako
167,Saint-Philippe,87.35,few clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
173,Road Town,80.01,clear sky,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
175,Srisailam,84.13,broken clouds,16.0833,78.8667,Vasavi Satram
